ID,time,DRUG_CENTRAL,DRUG_CARTRIDGE,Vadd,C_DRUG_CENTRAL,C_DRUG_CARTRIDGE
1,0,0,0,0,0,0
1,0,500,0,0,2.5,0
1,1,404.23603456298434,94.90137649702754,0,2.0211801728149217,1.898027529940551
1,2,398.86371342614433,99.4726409762117,0,1.9943185671307218,1.9894528195242338
1,3,397.9908960606648,99.54867589121139,0,1.989954480303324,1.9909735178242278
1,4,397.3429742203119,99.40123797993442,0,1.9867148711015594,1.9880247595986884
1,5,396.7072110557801,99.24292024584513,0,1.9835360552789003,1.9848584049169025
1,6,396.0730176446944,99.0843025211987,0,1.980365088223472,1.981686050423974
1,7,395.4398656892511,98.9259107175537,0,1.9771993284462557,1.978518214351074
1,8,394.8077269111981,98.76777075614763,0,1.9740386345559904,1.9753554151229524
1,9,394.17659864047903,98.60988342058064,0,1.9708829932023952,1.972197668411613
1,10,393.5464792043766,98.45224845942651,0,1.967732396021883,1.9690449691885303
1,11,392.91736610662457,98.29486526507918,0,1.9645868305331229,1.9658973053015836
1,12,392.28925900550774,98.13773374395244,0,1.9614462950275386,1.9627546748790488
1,13,391.66215577560337,97.9808533595296,0,1.9583107788780167,1.9596170671905921
1,14,391.0360549355449,97.82422374039436,0,1.9551802746777245,1.9564844748078871
1,15,390.41095524305507,97.6678445747509,0,1.9520547762152753,1.9533568914950181
1,16,389.7868551820542,97.511715484603,0,1.948934275910271,1.95023430969206
1,17,389.1637533861336,97.35583612631416,0,1.945818766930668,1.947116722526283
1,18,388.54164795884367,97.20020602505164,0,1.9427082397942184,1.9440041205010328
1,19,387.92053739829873,97.0448248075414,0,1.9396026869914937,1.9408964961508282
1,20,387.3004196118069,96.88969194843895,0,1.9365020980590344,1.937793838968779
1,21,386.68129300870265,96.734807050099107,0,1.9334064650435132,1.934696141001982
1,22,386.06315626096546,96.58016978115671,0,1.9303157813048273,1.9316033956231342
1,23,385.4460074585707,96.42577966337424,0,1.9272300372928535,1.928515593267485
1,24,384.82984512262516,96.27163632676182,0,1.9241492256131258,1.9254327265352364
1,25,384.21466777559465,96.11773940166904,0,1.9210733388779733,1.922354788033381
1,26,383.60047373432644,95.96408846707988,0,1.9180023686716323,1.9192817693415976
1,27,382.9872615255755,95.81068315433895,0,1.9149363076278774,1.916213663086779
1,28,382.3750295802528,95.65752307090818,0,1.911875147901264,1.9131504614181636
1,29,381.7637762996621,95.504607816872,0,1.9088188814983105,1.91009215633744
1,30,381.1535001147,95.35193699968873,0,1.9057675005735002,1.9070387399937747
1,31,380.54419951470965,95.19951024143778,0,1.9027209975735482,1.9039902048287556
1,32,379.9358729199863,95.04732714692545,0,1.8996793645999315,1.900946542938509
1,33,379.32851876738636,94.89538732510108,0,1.8966425938369318,1.8979077465020218
1,34,378.72213550064015,94.7436903866358,0,1.8936106775032007,1.894873807732716
1,35,378.1167216005952,94.5922359515107,0,1.890583608002976,1.8918447190302141
1,36,377.51227549510736,94.44102362641523,0,1.8875613774755369,1.8888204725283047
1,37,376.9087956308716,94.29005302276417,0,1.884543978154358,1.8858010604552833
1,38,376.30628047914763,94.139323758118607,0,1.8815314023957381,1.8827864751623722
1,39,375.7047284900825,93.98883544475704,0,1.8785236424504126,1.879776708895141
1,40,375.1041381272784,93.8385876983246,0,1.8755206906363922,1.876771753966492
1,41,374.50450784096375,93.68858013112016,0,1.8725225392048188,1.8737716026224032
1,42,373.9058361333866,93.53881236845412,0,1.869529180666933,1.8707762473690823
1,43,373.3081214982246,93.38928403349344,0,1.8665406074911228,1.8677856806698687
1,44,372.71136235523994,93.23999473091713,0,1.8635568117761998,1.8647998946183426
1,45,372.11555717157677,93.09094407725577,0,1.8605777858578838,1.8618188815451153
1,46,371.5207044169617,92.94213168968604,0,1.8576035220848084,1.8588426337937207
1,47,370.9268025637037,92.7935571860307,0,1.8546340128185184,1.855871143720614
1,48,370.3338500866942,92.64522018475861,0,1.851669250433471,1.8529044036951723
1,49,369.7418454634071,92.49712030498478,0,1.8487092273170356,1.8499424060996956
1,50,369.15078717389866,92.34925716647021,0,1.8457539358694932,1.8469851433294042
1,51,368.5606737561904,92.2016304034703,0,1.842803368780952,1.844032608069406
1,52,367.9715036700941,92.05423963068479,0,1.8398575183504704,1.8410847926136957
1,53,367.383275403538,91.90708446984421,0,1.83691637701769,1.838141689396884
1,54,366.79598745181,91.7601645445197,0,1.83397993725905,1.835203290890394
1,55,366.20963831310166,91.61347947900882,0,1.8310481915655084,1.8322695895801764
1,56,365.62422648850844,91.46702889833557,0,1.8281211324425422,1.8293405779667113
1,57,365.0397504820292,91.32081242825039,0,1.825198752410146,1.8264162485650077
1,58,364.45620880056686,91.17482969523016,0,1.8222810440028343,1.8234965939046033
1,59,363.87359994307474,91.02908032376217,0,1.8193679997153738,1.8205816064752434
1,60,363.29192240325756,90.88356393702004,0,1.8164596120162877,1.8176712787404008
1,61,362.7111747107039,90.7382801671571,0,1.8135558735535195,1.814765603343142
1,62,362.13135538120235,90.593228642873,0,1.8106567769060118,1.81186457285746
1,63,361.5524629332594,90.44840899354732,0,1.8077623146662969,1.8089681798709463
1,64,360.9744958880996,90.30382084923963,0,1.8048724794404982,1.8060764169847925
1,65,360.39745276966545,90.15946384068943,0,1.8019872638483272,1.8031892768137885
1,66,359.8213321046174,90.01533759931615,0,1.799106660523087,1.8003067519863232
1,67,359.24613242233386,89.87144175721922,0,1.7962306621116693,1.7974288351443843
1,68,358.6718522143534,89.7277759370313,0,1.793359261071767,1.794555518740626
