ID,time,DRUG_A_CENTRAL,DRUG_A_CARTRIDGE,DRUG_B_EXTRA,DRUG_B_CENTRAL,DRUG_B_CARTRIDGE,Vadd_A_Central,Vadd_B_Central,Vadd_B_Extra,C_DRUG_A_CENTRAL,C_DRUG_A_CARTRIDGE,C_DRUG_B_EXTRA,C_DRUG_B_CENTRAL,C_DRUG_B_CARTRIDGE,Ve,Vc,V3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,50
1,0,500,0,0,0,0,0,0,0,2.5,0,0,0,0,1,200,50
1,0,500,0,0,0,0,0,0,0,2.5,0,0,0,0,1,200,50
1,0,500,0,0,200,0,0,0,0,2.5,0,0,1,0,1,200,50
1,1,404.23603456298434,94.90137649702754,0,161.69441382519338,37.96055059881092,0,0,0,2.0211801728149217,1.898027529940551,0,0.8084720691259669,0.7592110119762183,1,200,50
1,2,398.86371342614433,99.4726409762117,0,159.54548537045744,39.789056390484596,0,0,0,1.9943185671307218,1.9894528195242338,0,0.7977274268522873,0.7957811278096919,1,200,50
1,3,397.9908960606648,99.54867589121139,0,159.19635842426555,39.819470356484466,0,0,0,1.989954480303324,1.9909735178242278,0,0.7959817921213278,0.7963894071296893,1,200,50
1,4,397.3429742203119,99.40123797993442,0,158.9371896881244,39.76049519197368,0,0,0,1.9867148711015594,1.9880247595986884,0,0.7946859484406219,0.7952099038394737,1,200,50
1,5,396.7072110557801,99.24292024584513,0,158.68288442231167,39.69716809833795,0,0,0,1.9835360552789003,1.9848584049169025,0,0.7934144221115583,0.793943361966759,1,200,50
1,6,396.0730176446944,99.0843025211987,0,158.42920705787748,39.6337210084794,0,0,0,1.980365088223472,1.981686050423974,0,0.7921460352893874,0.792674420169588,1,200,50
1,7,395.4398656892511,98.9259107175537,0,158.17594627570014,39.5703642870214,0,0,0,1.9771993284462557,1.978518214351074,0,0.7908797313785008,0.791407285740428,1,200,50
1,8,394.8077269111981,98.76777075614763,0,157.9230907644789,39.50710830245897,0,0,0,1.9740386345559904,1.9753554151229524,0,0.7896154538223945,0.7901421660491793,1,200,50
1,9,394.17659864047903,98.60988342058064,0,157.67063945619128,39.44395336823217,0,0,0,1.9708829932023952,1.972197668411613,0,0.7883531972809564,0.7888790673646434,1,200,50
1,10,393.5464792043766,98.45224845942651,0,157.41859168175034,39.38089938377052,0,0,0,1.967732396021883,1.9690449691885303,0,0.7870929584087517,0.7876179876754104,1,200,50
1,11,392.91736610662457,98.29486526507918,0,157.1669464426495,39.31794610603159,0,0,0,1.9645868305331229,1.9658973053015836,0,0.7858347322132475,0.7863589221206319,1,200,50
1,12,392.28925900550774,98.13773374395244,0,156.91570360220277,39.255093497580894,0,0,0,1.9614462950275386,1.9627546748790488,0,0.7845785180110139,0.7851018699516179,1,200,50
1,13,391.66215577560337,97.9808533595296,0,156.664862310241,39.19234134381176,0,0,0,1.9583107788780167,1.9596170671905921,0,0.7833243115512051,0.7838468268762352,1,200,50
1,14,391.0360549355449,97.82422374039436,0,156.4144219742176,39.12968949615767,0,0,0,1.9551802746777245,1.9564844748078871,0,0.782072109871088,0.7825937899231533,1,200,50
1,15,390.41095524305507,97.6678445747509,0,156.16438209722168,39.06713782990028,0,0,0,1.9520547762152753,1.9533568914950181,0,0.7808219104861084,0.7813427565980057,1,200,50
1,16,389.7868551820542,97.511715484603,0,155.91474207282133,39.00468619384112,0,0,0,1.948934275910271,1.95023430969206,0,0.7795737103641066,0.7800937238768223,1,200,50
1,17,389.1637533861336,97.35583612631416,0,155.6655013544531,38.942334450525586,0,0,0,1.945818766930668,1.947116722526283,0,0.7783275067722656,0.7788466890105117,1,200,50
1,18,388.54164795884367,97.20020602505164,0,155.41665918353715,38.88008241002058,0,0,0,1.9427082397942184,1.9440041205010328,0,0.7770832959176858,0.7776016482004116,1,200,50
1,19,387.92053739829873,97.0448248075414,0,155.1682149593192,38.81792992301648,0,0,0,1.9396026869914937,1.9408964961508282,0,0.7758410747965959,0.7763585984603296,1,200,50
1,20,387.3004196118069,96.88969194843895,0,154.92016784472244,38.7558767793755,0,0,0,1.9365020980590344,1.937793838968779,0,0.7746008392236122,0.77511753558751,1,200,50
1,21,386.68129300870265,96.734807050099107,0,154.67251720348074,38.69392282003956,0,0,0,1.9334064650435132,1.934696141001982,0,0.7733625860174037,0.7738784564007912,1,200,50
1,22,386.06315626096546,96.58016978115671,0,154.42526250438587,38.6320679124626,0,0,0,1.9303157813048273,1.9316033956231342,0,0.7721263125219293,0.7726413582492521,1,200,50
1,23,385.4460074585707,96.42577966337424,0,154.17840298342796,38.570311865349616,0,0,0,1.9272300372928535,1.928515593267485,0,0.7708920149171398,0.7714062373069923,1,200,50
1,24,384.82984512262516,96.27163632676182,0,153.93193804904973,38.508654530704646,0,0,0,1.9241492256131258,1.9254327265352364,0,0.7696596902452487,0.7701730906140929,1,200,50
1,25,384.21466777559465,96.11773940166904,0,153.68586711023752,38.447095760667544,0,0,0,1.9210733388779733,1.922354788033381,0,0.7684293355511876,0.7689419152133509,1,200,50
1,26,383.60047373432644,95.96408846707988,0,153.44018949373026,38.38563538683187,0,0,0,1.9180023686716323,1.9192817693415976,0,0.7672009474686513,0.7677127077366375,1,200,50
1,27,382.9872615255755,95.81068315433895,0,153.19490461022988,38.3242732617355,0,0,0,1.9149363076278774,1.916213663086779,0,0.7659745230511494,0.76648546523471,1,200,50
1,28,382.3750295802528,95.65752307090818,0,152.95001183210078,38.263009228363195,0,0,0,1.911875147901264,1.9131504614181636,0,0.7647500591605039,0.7652601845672639,1,200,50
1,29,381.7637762996621,95.504607816872,0,152.7055105198645,38.20184312674871,0,0,0,1.9088188814983105,1.91009215633744,0,0.7635275525993225,0.7640368625349743,1,200,50
1,30,381.1535001147,95.35193699968873,0,152.46140004587969,38.14077479987541,0,0,0,1.9057675005735002,1.9070387399937747,0,0.7623070002293985,0.7628154959975082,1,200,50
1,31,380.54419951470965,95.19951024143778,0,152.21767980588353,38.079804096575025,0,0,0,1.9027209975735482,1.9039902048287556,0,0.7610883990294177,0.7615960819315005,1,200,50
1,32,379.9358729199863,95.04732714692545,0,151.97434916799418,38.0189308587701,0,0,0,1.8996793645999315,1.900946542938509,0,0.7598717458399709,0.760378617175402,1,200,50
1,33,379.32851876738636,94.89538732510108,0,151.7314075069542,37.958154930040344,0,0,0,1.8966425938369318,1.8979077465020218,0,0.7586570375347711,0.7591630986008069,1,200,50
1,34,378.72213550064015,94.7436903866358,0,151.4888542002557,37.89747615465423,0,0,0,1.8936106775032007,1.894873807732716,0,0.7574442710012785,0.7579495230930846,1,200,50
1,35,378.1167216005952,94.5922359515107,0,151.24668864023772,37.836894380604186,0,0,0,1.890583608002976,1.8918447190302141,0,0.7562334432011886,0.7567378876120837,1,200,50
1,36,377.51227549510736,94.44102362641523,0,151.00491019804258,37.776409450566,0,0,0,1.8875613774755369,1.8888204725283047,0,0.7550245509902129,0.75552818901132,1,200,50
1,37,376.9087956308716,94.29005302276417,0,150.7635182523483,37.71602120910558,0,0,0,1.884543978154358,1.8858010604552833,0,0.7538175912617414,0.7543204241821115,1,200,50
1,38,376.30628047914763,94.139323758118607,0,150.5225121916587,37.65572950324735,0,0,0,1.8815314023957381,1.8827864751623722,0,0.7526125609582935,0.753114590064947,1,200,50
1,39,375.7047284900825,93.98883544475704,0,150.28189139603265,37.59553417790273,0,0,0,1.8785236424504126,1.879776708895141,0,0.7514094569801633,0.7519106835580546,1,200,50
1,40,375.1041381272784,93.8385876983246,0,150.04165525091102,37.53543507932975,0,0,0,1.8755206906363922,1.876771753966492,0,0.7502082762545551,0.750708701586595,1,200,50
